Country_Name,Total_Population,Percentage_Total_Unemployment,GDP_US_DOLLARS,New_EU_Class
ALBANIA,2811666,0.24,18260043500,New EU
BULGARIA,6899124,0.11,80271119426,New EU
CYPRUS,1215588,0.12,27719337670,New EU
CZECHIA,10703446,0.06,282340849857,New EU
ESTONIA,1329255,0.13,36262924354,New EU
HUNGARY,9709886,0.08,182280517581,New EU
LATVIA,1883162,0.15,38872546229,New EU
LITHUANIA,2795321,0.16,65503849705,New EU
POLAND,37781024,0.07,674048266397,New EU
ROMANIA,19115145,0.11,284087563696,New EU
SLOVAK REPUBLIC,5447247,0.14,114870706410,New EU
SLOVENIA,2107008,0.09,61526331890,New EU
UKRAINE,43814580,0.18,200085537744,New EU
