Country_Name,Total_Population,Percentage_Total_Unemployment,GDP_US_DOLLARS,Old_EU_Class
AUSTRIA,8956280,0.13,477082467454,Old EU
BELARUS,9340314,0.09,68218816484,Old EU
BELGIUM,11587881,0.13,599879025378,Old EU
DENMARK,5856734,0.10,397104343478,Old EU
FINLAND,5541696,0.15,299155237589,Old EU
FRANCE,67499344,0.16,2937472757953,Old EU
GERMANY,83129285,0.07,4223116205969,Old EU
GREECE,10664569,0.30,216240589485,Old EU
IRELAND,5028231,0.13,498559576715,Old EU
ITALY,59066225,0.20,2099880198259,Old EU
LUXEMBOURG,639070,0.11,86710803337,Old EU
NETHERLANDS,17533404,0.08,1018007056950,Old EU
PORTUGAL,10299424,0.13,249886464355,Old EU
SPAIN,47326688,0.30,1425276586283,Old EU
SWEDEN,10415811,0.17,627437898887,Old EU
SWITZERLAND,8697723,0.11,812866928867,Old EU
UNITED KINGDOM,67326569,0.09,3186859739185,Old EU
